timestamp_utc,hub_pid,cpu_percent,rss_mb,private_mb,db_mb,wal_mb,shm_mb,note
2026-07-09T05:20:57Z,10928,,51.4,40.4,54.09,4.00,0.03,
2026-07-09T05:21:57Z,10928,4.6,52.7,41.5,54.09,4.00,0.03,
2026-07-09T05:22:57Z,10928,4.1,52.9,41.7,54.09,4.00,0.03,
2026-07-09T05:23:57Z,10928,4.2,52.9,41.7,54.09,4.00,0.03,
2026-07-09T05:24:57Z,10928,5.5,53.0,41.7,54.12,4.00,0.03,
2026-07-09T05:25:57Z,10928,4.8,49.9,39.2,54.12,4.00,0.03,
2026-07-09T05:26:57Z,10928,4.6,49.9,39.3,54.13,4.00,0.03,
2026-07-09T05:27:57Z,10928,4.2,51.0,40.3,54.13,4.00,0.03,
2026-07-09T05:28:57Z,10928,4.1,51.0,40.3,54.13,4.00,0.03,
2026-07-09T05:29:57Z,10928,5.9,51.0,40.3,54.13,4.00,0.03,
2026-07-09T05:30:57Z,10928,4.6,51.0,40.3,54.15,4.00,0.03,
2026-07-09T05:31:57Z,10928,3.7,51.0,40.4,54.15,4.00,0.03,
2026-07-09T05:32:57Z,10928,4.9,51.0,40.4,54.15,4.00,0.03,
2026-07-09T05:33:57Z,10928,3.8,51.0,40.4,54.17,4.00,0.03,
2026-07-09T05:34:57Z,10928,3.5,51.0,40.4,54.17,4.00,0.03,
2026-07-09T05:35:57Z,10928,5.0,51.0,40.5,54.17,4.00,0.03,
2026-07-09T05:36:57Z,10928,3.8,51.0,40.5,54.19,4.00,0.03,
2026-07-09T05:37:57Z,10928,4.5,51.1,40.5,54.19,4.00,0.03,
2026-07-09T05:38:57Z,10928,3.8,51.2,40.5,54.19,4.00,0.03,
2026-07-09T05:39:57Z,10928,4.4,51.2,40.5,54.20,4.00,0.03,
2026-07-09T05:40:57Z,10928,4.9,51.2,40.5,54.20,4.00,0.03,
2026-07-09T05:41:57Z,10928,3.4,51.2,40.5,54.20,4.00,0.03,
2026-07-09T05:42:58Z,10928,3.6,51.2,40.5,54.22,4.00,0.03,
2026-07-09T05:43:58Z,10928,4.2,51.3,40.6,54.22,4.00,0.03,
2026-07-09T05:44:58Z,10928,4.2,51.3,40.6,54.22,4.00,0.03,
2026-07-09T05:45:58Z,10928,5.0,50.0,39.2,54.23,4.00,0.03,
2026-07-09T05:46:58Z,10928,4.7,50.0,39.2,54.23,4.00,0.03,
2026-07-09T05:47:58Z,10928,4.3,50.0,39.2,54.23,4.00,0.03,
2026-07-09T05:48:58Z,10928,4.3,50.1,39.2,54.25,4.00,0.03,
2026-07-09T05:49:58Z,10928,4.5,50.1,39.2,54.25,4.00,0.03,
2026-07-09T05:50:58Z,10928,4.6,50.1,39.2,54.25,4.00,0.03,
2026-07-09T05:51:58Z,10928,4.9,51.3,40.8,54.28,4.00,0.03,
2026-07-09T05:52:58Z,10928,3.9,51.3,40.8,54.28,4.00,0.03,
2026-07-09T05:53:58Z,10928,4.2,51.4,40.9,54.28,4.00,0.03,
2026-07-09T05:54:58Z,10928,5.1,51.4,40.9,54.29,4.00,0.03,
2026-07-09T05:55:58Z,10928,3.9,51.4,40.8,54.29,4.00,0.03,
2026-07-09T05:56:58Z,10928,4.6,51.7,40.9,54.29,4.00,0.03,
2026-07-09T05:57:58Z,10928,4.1,52.0,41.2,54.29,4.00,0.03,
2026-07-09T05:58:58Z,10928,4.0,52.0,41.2,54.31,4.00,0.03,
2026-07-09T05:59:58Z,10928,6.0,52.0,41.2,54.31,4.00,0.03,
2026-07-09T06:00:58Z,10928,4.5,52.0,41.2,54.31,4.00,0.03,
2026-07-09T06:01:58Z,10928,4.1,49.5,38.3,54.32,4.00,0.03,
2026-07-09T06:02:58Z,10928,5.0,49.7,38.5,54.32,4.00,0.03,
2026-07-09T06:03:58Z,10928,3.4,49.8,38.6,54.32,4.00,0.03,
2026-07-09T06:04:58Z,10928,5.6,50.3,39.2,54.34,4.00,0.03,
2026-07-09T06:05:58Z,10928,4.7,50.4,39.5,54.34,4.00,0.03,
2026-07-09T06:06:58Z,10928,4.4,50.4,39.5,54.34,4.00,0.03,
2026-07-09T06:07:58Z,10928,4.8,50.4,39.5,54.36,4.00,0.03,
2026-07-09T06:08:58Z,10928,4.1,50.4,39.5,54.36,4.00,0.03,
2026-07-09T06:09:58Z,10928,5.0,50.4,39.5,54.36,4.00,0.03,
2026-07-09T06:10:58Z,10928,5.0,50.6,39.7,54.37,4.00,0.03,
2026-07-09T06:11:58Z,10928,4.0,50.6,39.7,54.37,4.00,0.03,
2026-07-09T06:12:58Z,10928,3.9,50.7,39.8,54.37,4.00,0.03,
2026-07-09T06:13:58Z,10928,4.9,50.8,39.9,54.39,4.00,0.03,
2026-07-09T06:14:58Z,10928,4.3,50.9,40.1,54.39,4.00,0.03,
2026-07-09T06:15:58Z,10928,5.6,50.9,40.1,54.41,4.00,0.03,
2026-07-09T06:16:58Z,10928,4.9,50.9,40.1,54.41,4.00,0.03,
2026-07-09T06:17:58Z,10928,3.5,50.9,40.1,54.41,4.00,0.03,
2026-07-09T06:18:58Z,10928,4.0,50.9,40.1,54.44,4.00,0.03,
2026-07-09T06:19:58Z,10928,4.6,50.9,40.1,54.44,4.00,0.03,
2026-07-09T06:20:58Z,10928,5.1,50.9,40.1,54.44,4.00,0.03,
2026-07-09T06:21:58Z,10928,4.1,51.3,40.5,54.45,4.00,0.03,
2026-07-09T06:22:58Z,10928,3.5,51.6,40.8,54.45,4.00,0.03,
2026-07-09T06:23:58Z,10928,4.6,51.6,40.8,54.45,4.00,0.03,
2026-07-09T06:24:58Z,10928,4.9,51.6,40.8,54.47,4.00,0.03,
2026-07-09T06:25:58Z,10928,4.6,51.6,40.8,54.47,4.00,0.03,
2026-07-09T06:26:58Z,10928,4.5,51.8,41.0,54.47,4.00,0.03,
2026-07-09T06:27:58Z,10928,4.2,52.2,41.5,54.48,4.00,0.03,
2026-07-09T06:28:58Z,10928,3.6,52.2,41.5,54.48,4.00,0.03,
2026-07-09T06:29:58Z,10928,4.8,52.2,41.5,54.48,4.00,0.03,
2026-07-09T06:30:58Z,10928,4.6,52.2,41.5,54.48,4.00,0.03,
2026-07-09T06:31:58Z,10928,3.5,52.2,41.5,54.50,4.00,0.03,
2026-07-09T06:32:58Z,10928,5.0,52.2,41.5,54.50,4.00,0.03,
2026-07-09T06:33:58Z,10928,4.0,52.2,41.5,54.50,4.00,0.03,
2026-07-09T06:34:58Z,10928,5.4,52.2,41.5,54.51,4.00,0.03,
2026-07-09T06:35:58Z,10928,5.2,52.2,41.5,54.51,4.00,0.03,
2026-07-09T06:36:58Z,10928,4.0,52.2,41.5,54.51,4.00,0.03,
2026-07-09T06:37:58Z,10928,4.1,52.2,41.5,54.53,4.00,0.03,
2026-07-09T06:38:58Z,10928,4.0,52.2,41.5,54.53,4.00,0.03,
2026-07-09T06:39:58Z,10928,3.4,52.2,41.5,54.53,4.00,0.03,
2026-07-09T06:40:58Z,10928,5.6,52.2,41.5,54.55,4.00,0.03,
2026-07-09T06:41:58Z,10928,3.4,52.2,41.5,54.55,4.00,0.03,
2026-07-09T06:42:58Z,10928,4.2,52.2,41.5,54.55,4.00,0.03,
2026-07-09T06:43:58Z,10928,3.5,52.3,41.5,54.57,4.00,0.03,
2026-07-09T06:44:58Z,10928,4.0,52.3,41.5,54.57,4.00,0.03,
2026-07-09T06:45:58Z,10928,5.4,52.2,41.5,54.57,4.00,0.03,
2026-07-09T06:46:58Z,10928,4.6,52.5,41.7,54.58,4.00,0.03,
2026-07-09T06:47:58Z,10928,4.5,52.5,41.7,54.58,4.00,0.03,
2026-07-09T06:48:58Z,10928,6.1,52.5,41.7,54.58,4.00,0.03,
2026-07-09T06:49:58Z,10928,5.0,52.5,41.7,54.61,4.00,0.03,
2026-07-09T06:50:58Z,10928,6.3,52.5,41.7,54.61,4.00,0.03,
2026-07-09T06:51:58Z,10928,5.3,49.6,38.4,54.61,4.00,0.03,
2026-07-09T06:52:58Z,10928,4.6,49.7,38.5,54.62,4.00,0.03,
2026-07-09T06:53:58Z,10928,5.5,50.1,38.9,54.62,4.00,0.03,
2026-07-09T06:54:58Z,10928,4.9,50.2,39.0,54.62,4.00,0.03,
2026-07-09T06:55:58Z,10928,6.0,50.3,39.1,54.62,4.00,0.03,
2026-07-09T06:56:58Z,10928,6.1,50.7,39.9,54.64,4.00,0.03,
2026-07-09T06:57:58Z,10928,4.8,50.7,39.9,54.64,4.00,0.03,
2026-07-09T06:58:58Z,10928,5.0,50.7,39.9,54.64,4.00,0.03,
2026-07-09T06:59:58Z,10928,5.3,50.8,40.2,54.66,4.00,0.03,
2026-07-09T07:00:58Z,10928,6.6,50.9,40.2,54.66,4.00,0.03,
2026-07-09T07:01:58Z,10928,5.9,50.9,40.2,54.66,4.00,0.03,
2026-07-09T07:02:58Z,10928,5.5,50.9,40.2,54.66,4.00,0.03,
2026-07-09T07:03:58Z,10928,4.9,50.9,40.2,54.66,4.00,0.03,
2026-07-09T07:04:58Z,10928,5.2,50.9,40.2,54.66,4.00,0.03,
2026-07-09T07:05:58Z,10928,6.2,50.9,40.2,54.69,4.00,0.03,
2026-07-09T07:06:58Z,10928,5.8,50.9,40.3,54.69,4.00,0.03,
2026-07-09T07:07:58Z,10928,5.5,51.6,40.8,54.69,4.00,0.03,
2026-07-09T07:08:58Z,10928,4.8,51.6,40.8,54.71,4.00,0.03,
